ユーザーストーリーのグループ	ユーザーストーリー	ユースケース	ユーザーストーリー名	主語	動詞	対象	理由	結果	ユーザーストーリーの完了条件
【グループ3：レビュー、バリデーション、保存（ウィザード Step 6）】	仕様書作成者として、各ステップの「入力済み項目数 / 総項目数」（例：基本情報 (0/3)）を把握したい。なぜならば、仕様書の全体的な完成度（進捗）を定量的に理解し、どのセクションに未入力が多いかを即座に判断するため 3。	仕様書のレビューと保存	進捗の定量的把握	仕様書作成者	把握する	各ステップの「入力済み項目数 / 総項目数」	仕様書の完成度（進捗）を定量的に理解し、未入力が多いセクションを即座に判断するため 3。	ユーザーはウィザードの進捗バー2および確認画面9のセクション見出しで、各ステップの入力状況（例: (0/3)）を確認できる。	1. ウィザードの各ステップ上部（2など）の進捗バーに、ステップごとの入力状況（例：「1. 基本情報 (0/3)」）が表示される 3。  2. 確認画面（9）の各セクション見出しにも、同様の入力状況が表示される。
【グループ3：レビュー、バリデーション、保存（ウィザード Step 6）】	仕様書作成者として、確認サマリー画面（Step6）で入力ミスを見つけた場合、該当セクションの「編集」ボタンから直接そのステップにジャンプしたい。なぜならば、「戻る」ボタンを何度も押して修正箇所を探すという非効率な手戻りをなくし、迅速に内容を修正するため 9。	仕様書のレビューと保存	編集のためのクイックナビゲーション	仕様書作成者	ジャンプする	確認画面（Step6）から、該当セクションの「編集」ボタンで修正したいステップへ	非効率な手戻り（「戻る」の連打）をなくし、迅速に内容を修正するため。	ユーザーは確認画面（9）で「基本情報」の「編集」ボタンを押し、即座にステップ1（2）の画面に遷移して内容を修正できる。	1. 確認画面（9）の各セクション（例：「基本情報」「納品情報」）の横に「編集」ボタンが表示される。  2. この「編集」ボタンをクリックすると、対応するウィザードのステップ（例：ステップ1、ステップ3）に直接遷移する。
【グループ3：レビュー、バリデーション、保存（ウィザード Step 6）】	仕様書作成者として、全項目が入力された仕様書を「保存」したい。なぜならば、関係者（レビューア、ベンダー）に共有するための「公式なメジャーバージョン」（例: v2.0）として版を確定させるため 3。	仕様書のレビューと保存	公式版の確定（メジャーバージョン保存）	仕様書作成者	保存する	全項目が入力された仕様書	「公式なメジャーバージョン」（例: v2.0）として版を確定させるため 3。	ユーザーは確認画面（9）で「仕様書を保存する」ボタンを押し、仕様書のメジャーバージョンがインクリメント（例：1.0 -> 2.0）される。	1. 全ての必須項目（4で定義）が入力されている状態で「仕様書を保存する」ボタン（9）を押す。  2. 仕様書のバージョンがメジャーインクリメント（例：1.0 から 2.0）される 3。  3. ステータスが「保存済み」になる 3。
【グループ3：レビュー、バリデーション、保存（ウィザード Step 6）】	仕様書作成者として、作業途中の未入力項目がある仕様書を「保存」したい。なぜならば、作業を中断し、後で再開するために「ドラフト（下書き）」としてマイナーバージョン（例: v1.1）で保存しておくため 3。	仕様書のレビューと保存	ドラフト保存（マイナーバージョン保存）	仕様書作成者	保存する	作業途中の未入力項目がある仕様書	作業を中断し、後で再開するために「ドラフト（下書き）」としてマイナーバージョンで保存するため 3。	ユーザーは確認画面（9）で「仕様書を保存する」ボタンを押し、仕様書のマイナーバージョンがインクリメント（例：1.0 -> 1.1）される。	1. 4で定義された必須項目のうち、1つ以上が未入力の状態で「仕様書を保存する」ボタン（9）を押す。  2. 仕様書のバージョンがマイナーインクリメント（例：1.0 から 1.1）される 3。  3. ステータスが「確認中」または「編集中」になる 3。
【グループ4：仕様書の利用（詳細・エクスポート）】	仕様書作成者として、仕様書の概要（件名、バージョン、期限など）を素早く確認したい。なぜならば、それが今探している目的の仕様書であるか、または最新のバージョンであるかを判断するため 10。	仕様書の参照	仕様書概要のクイック確認	仕様書作成者	素早く確認する	仕様書の概要（件名、バージョン、期限など）	目的の仕様書であるか、最新バージョンであるかを判断するため。	ユーザーは仕様書詳細情報画面（10）で、主要なメタデータを一目で確認できる。	1. トップページ（1）から仕様書を選択すると、仕様書詳細情報画面（10）に遷移する。  2. 画面には「作成日」「バージョン」「件名」「調達の種別」「納品期限」などの概要情報が表示される。
【グループ4：仕様書の利用（詳細・エクスポート）】	仕様書作成者として、仕様書をPDF形式でエクスポートしたい。なぜならば、レイアウトを固定し、改変不可能な「正本」として、調達先ベンダーや上長など、アプリのアカウントを持たない関係者にも正式に共有・配布するため 10。	仕様書のエクスポート	[レビューア視点] PDFによる正式な共有	仕様書作成者	PDF形式でエクスポートする	仕様書	改変不可能な「正本」として、アプリのアカウントを持たない関係者に正式に共有・配布するため。	ユーザーは詳細画面（10）の「PDF」ボタンを押し、仕様書のPDFファイルが生成・ダウンロードされる。	1. 仕様書詳細情報画面（10）に「エクスポート」セクションがあり、「PDF」ボタンが存在する。  2. ボタンをクリックすると、ブラウザがPDFファイルのダウンロードを開始する。
【グループ4：仕様書の利用（詳細・エクスポート）】	仕様書レビューア（法務部や上長）として、仕様書をWord形式でエクスポートしたい。なぜならば、アプリのアカウントがなくても、「変更履歴」や「コメント」機能を使って、仕様書のレビュー（赤入れ）や共同編集を行うため 10。	仕様書のエクスポート	[レビューア視点] Wordによる共同編集（レビュー）	仕様書レビューア（法務部や上長）	Word形式でエクスポートする	仕様書	アプリ外で「変更履歴」や「コメント」機能を使い、レビュー（赤入れ）を行うため。	ユーザーは詳細画面（10）の「Word」ボタンを押し、仕様書のWordファイルが生成・ダウンロードされる。	1. 仕様書詳細情報画面（10）に「エクスポート」セクションがあり、「Word」ボタンが存在する。  2. ボタンをクリックすると、ブラウザがWord (.docx) ファイルのダウンロードを開始する。
【グループ4：仕様書の利用（詳細・エクスポート）】	仕様書レビューア（開発チーム）として、仕様書をMarkdown形式でエクスポートしたい。なぜならば、仕様書の変更履歴をGitなどのバージョン管理システムで、差分（Diff）として技術的に管理するため 10。	仕様書のエクスポート	[レビューア視点] Markdownによる技術的な版管理	仕様書レビューア（開発チーム）	Markdown形式でエクスポートする	仕様書	仕様書の変更履歴をGitで差分（Diff）として技術的に管理するため。	ユーザーは詳細画面（10）の「Markdown」ボタンを押し、仕様書のMarkdownファイルが生成・ダウンロードされる。	1. 仕様書詳細情報画面（10）に「エクスポート」セクションがあり、「Markdown」ボタンが存在する。  2. ボタンをクリックすると、ブラウザがMarkdown (.md) ファイルのダウンロードを開始する。
【グループ5：システム管理（スキーマ設定）】	仕様書管理者として、仕様書作成の「ステップ（カテゴリ）」を自由に定義（追加・編集・削除）したい。なぜならば、組織の業務プロセス（例：ソフトウェア開発と物品購入）に合わせて、仕様書作成の入力フロー自体を最適化するため 4。	スキーマ管理	テンプレートの構造（ステップ）定義	仕様書管理者	自由に定義（追加・編集・削除）する	仕様書作成の「ステップ（カテゴリ）」	組織の業務プロセスに合わせて、入力フローを最適化するため 3。	管理者は設定画面（4）で「カテゴリを追加」ボタンや「編集」「削除」リンクを使い、ウィザードのステップ構成（例：「ステップ1 基本情報」）を自由に変更できる。	1. 設定画面（4）に「カテゴリ一覧」が表示される。  2. 「カテゴリを追加」ボタン、および各カテゴリに「編集」「削除」リンクが存在する。
【グループ5：システム管理（スキーマ設定）】	仕様書管理者として、各ステップ内の「入力項目」を自由に定義（追加・編集・削除）したい。なぜならば、業務上必要な情報（例：「担当者」）をテンプレートに追加したり、不要な項目（例：「調達の背景」）を削除したりして、収集する情報を過不足なく定義するため 4。	スキーマ管理	入力フォームのカスタマイズ	仕様書管理者	自由に定義（追加・編集・削除）する	各ステップ内の「入力項目」	業務上必要な情報をテンプレートに追加・削除し、収集する情報を過不足なく定義するため 3。	管理者は設定画面（4）で、各ステップの下にある「+ 項目を追加」ボタンや「編集」「削除」リンクを使い、フォームの項目を自由に変更できる。	1. 設定画面（4）の各カテゴリ（ステップ）に「+ 項目を追加」ボタンが存在する。  2. 各入力項目に「編集」「削除」リンクが存在する。
【グループ5：システム管理（スキーマ設定）】	仕様書管理者として、各入力項目の「データ型」（例：テキスト、リスト、日付）を指定したい。なぜならば、作成者（ユーザー）に適切な形式でデータを入力させ、後続処理（例：エクスポート、集計）が容易な、構造化されたクリーンなデータを担保するため 4。	スキーマ管理	データ型（制約）の定義	仕様書管理者	指定する	各入力項目の「データ型」（テキスト、リスト、日付など）	適切な形式でデータを入力させ、構造化されたクリーンなデータを担保するため。	管理者は項目追加・編集時に、その項目の種類（4に表示されている「テキスト」「テキストエリア」「ラジオボタン」「チェックボックス」「リスト」「日付」など）を選択できる。	1. 設定画面（4）の入力項目一覧に、その型（例：「テキスト」「リスト」）が表示されている。  2. 項目編集画面（UIでは省略されているが推察）で、これらの型を選択できる。
【グループ5：システム管理（スキーマ設定）】	仕様書管理者として、特定の入力項目を「必須」として設定したい。なぜならば、調達コンプライアンス上、あるいは業務上、不可欠な情報（例：「調達の目的」「納品期限」）の入力漏れを、システム的に強制・防止するため 4。	スキーマ管理	入力必須項目の強制（バリデーション定義）	仕様書管理者	「必須」として設定する	特定の入力項目	コンプライアンス上、不可欠な情報の入力漏れをシステム的に強制・防止するため。	管理者は設定画面（4）で、任意の項目（例：「調達の種別」）に「必須」マークを付与できる。	1. 設定画面（4）で、特定の入力項目に「必須」マークが表示されている。  2. 項目編集画面（UIでは省略されているが推察）で、「必須」のオン/オフを切り替えるチェックボックス等が存在する。
【グループ5：システム管理（スキーマ設定）】	仕様書管理者として、カスタマイズしたスキーマ設定全体を「デフォルト」（初期状態）にリセットしたい。なぜならば、設定のカスタマイズに失敗した際や、組織のプロセス変更で初期状態に戻す必要が出た際に、安全な状態に復元するため 4。	スキーマ管理	設定のデフォルト復元	仕様書管理者	「デフォルト」にリセットする	カスタマイズしたスキーマ設定全体	設定に失敗した際や、初期状態に戻す必要が出た際に、安全な状態に復元するため。	管理者は設定画面（4）の「デフォルトに戻す」ボタンをクリックし、確認ダイアログを経て、スキーマ設定を初期状態に戻すことができる。	1. 設定画面（4）に「デフォルトに戻す」ボタンが存在する。  2. ボタンをクリックすると、確認ダイアログ（例：「本当にリセットしますか？」）が表示される。  3. 承認すると、カテゴリや入力項目が初期状態に戻る。
【グループ6：非機能要件・ユーザビリティ】	仕様書作成者として、入力中のデータを自動的に保存してほしい。なぜならば、仕様書作成は時間がかかる作業であり、ブラウザのクラッシュやネットワークの切断、PCのシャットダウンなどで、長時間かけて入力した内容が失われることを防ぐため 2。	仕様書の作成（ウィザード）	データ消失の防止（自動保存）	仕様書作成者	自動的に保存する	入力中のデータ	ブラウザのクラッシュ等で、長時間かけて入力した内容が失われることを防ぐため 3。	ユーザーはウィザードの各ステップ（2-6）で入力中、画面の隅に「自動保存中」というインジケータが表示され、データが（ローカルストレージに）保存されていることを認識できる。	1. ウィザードの各画面（2など）に「自動保存中」のテキストが表示される。  2. プロンプトログ（3, #4）の指示に基づき、入力内容はローカルストレージに自動保存される。
【グループ6：非機能要件・ユーザビリティ】	仕様書作成者として、作業を中断した仕様書を再度開いたときに、前回の続き（中断したステップ、入力内容）からシームレスに作業を再開したい。なぜならば、自動保存された内容を探したり、ロードし直したりする手間を省き、効率的に作業を継続するため 3。	仕様書の作成（ウィザード）	作業のシームレスな再開	仕様書作成者	前回の続きからシームレスに作業を再開する	作業を中断した仕様書	自動保存された内容を探す手間を省き、効率的に作業を継続するため 3。	ユーザーが「編集中」の仕様書（1）を開くと、前回終了時のステップ（例：ステップ3）と入力内容が完全に復元された状態でウィザードが表示される。	1. プロンプトログ（3, #4）の指示に基づき、ページリロード時にローカルストレージからデータが自動的に復元される。  2. ユーザーは前回作業していたステップと入力内容のまま、作業を再開できる。
【グループ6：非機能要件・ユーザビリティ】	仕様書作成者として、「納品期限」のカレンダーアイコンなど、操作可能なUIコンポーネントを明確に認識（視認）したい。なぜならば、アイコンが背景に溶け込んで見えにくいと、その機能（カレンダーピッカー）が使えない、あるいは存在しないと誤解し、UX（ユーザー体験）が低下するため 3。	仕様書の作成（ウィザード）	UIコンポーネントの視認性担保	仕様書作成者	明確に認識（視認）する	「納品期限」のカレンダーアイコンなど、操作可能なUIコンポーネント	アイコンが見えにくいと、その機能が存在しないと誤解し、UXが低下するため 3。	ユーザーは納品期限（6）の入力欄の横に、背景から明確に識別できる色（例：黒）のカレンダーアイコンを認識し、クリックできる。	1. プロンプトログ（3, #10）の「視認性が悪いため」という指示に基づき、「納品期限」（6）のカレンダーアイコンは、背景と明確に区別できる色（例：黒）で表示される。
【グループ6：非機能要件・ユーザビリティ】	仕様書作成者として、トップページで「+ 新規作成」をクリックした際、「ステップ 0」のような概要ページを経由せず、「ステップ 1 基本情報」から即座に入力を開始したい。なぜならば、新規作成時の目的は「すぐに入力を始めること」であり、不要なクリックを省略してユーザー体験を向上させるため 3。	仕様書の新規作成	新規作成時のUX最適化	仕様書作成者	「ステップ 1 基本情報」から即座に入力を開始する	「+ 新規作成」をクリックした際	新規作成時の目的は「すぐに入力を始めること」であり、不要なクリックを省略してユーザー体験を向上させるため 3。	ユーザーはトップページ（1）で「+ 新規作成」をクリックすると、即座に「ステップ 1/6 基本情報」画面（2）に遷移する。	1. プロンプトログ（3, #13）の「ユーザー体験を向上する」という指示に基づき、新規作成時の遷移先は「ステップ 1 基本情報」（2）に設定される。
