大分類	小分類	要件カテゴリ	要件名	目的	概要	ステークホルダー	入力（もしあれば）	出力（もしあれば）
仕様書管理 (ダッシュボード)	機能 (一覧表示・フィルタリング)	機能	ステータスの視覚的識別（バッジ表示）	1 「編集中」「確認中」「保存済み」といった状態に応じて、次に行うべき作業（編集の継続か、レビューの依頼か）を直感的に判断するため。	1 仕様書一覧3の「ステータス」カラムに、各ステータス（例：「確認中」）を、異なる色（例：緑、黄、青）の視覚的インジケータ（バッジ）で表示する。	仕様書作成者	仕様書のステータス値	色付きバッジの表示
仕様書管理 (ダッシュボード)	機能 (一覧表示・フィルタリング)	機能	一覧のソート機能（推測）	3 仕様書が増加した際、目的の仕様書（例：最新の仕様書）を素早く見つけるため。	3 仕様書一覧テーブルのヘッダー（例：「最終更新日」「件名」）はクリック可能であり、クリックするとそのカラムで昇順・降順ソートが実行される。（ユーザビリティの観点から必須と推測される機能）	仕様書作成者	カラムヘッダーのクリック	ソートされたテーブルの再表示
仕様書管理 (ダッシュボード)	機能 (新規作成・ナビゲーション)	機能	新規仕様書の作成開始	1 新しい調達プロジェクトを開始するため。	1 トップページ3の「+ 新規作成」ボタンをクリックする。システムは内部的に新しい仕様書IDを採番し、ユーザーを「ステップ 1/6 基本情報」画面4にリダイレクトする。	仕様書作成者	「+ 新規作成」ボタンのクリック	新規仕様書IDの採番（内部）、ステップ1画面への遷移
仕様書管理 (ダッシュボード)	機能 (新規作成・ナビゲーション)	機能	設定画面へのナビゲーション	1 仕様書作成に使用するテンプレート（スキーマ）を組織のルールに合わせて管理・変更するため。	1 トップページ3の「設定」ボタンをクリックする。「仕様書管理者」ロールを持つユーザーは「スキーマ設定」画面9へ遷移する。（非機能要件 RBAC に基づき、「作成者」ロールのユーザーにはボタンが非表示または無効化される）	仕様書管理者	「設定」ボタンのクリック	スキーマ設定画面への遷移
仕様書管理 (ダッシュボード)	機能 (状態別のアクション制御)	機能	状態別のアクションボタン制御（編集/詳細）	1 「保存済み」以外の仕様書（＝作業中）は、直感的に「作業の続きを行う」アクション（編集）を認識できるようにするため。	1 一覧3の「操作」カラムに表示されるボタンを、仕様書のステータスに応じて動的に変更する。 1. ステータスが「保存済み」の場合：「詳細」ボタンを表示する。 2. ステータスが「保存済み」以外（例：「編集中」「確認中」）の場合：「編集」ボタンを表示する。	仕様書作成者	各仕様書のステータス値	「編集」または「詳細」ボタンの表示
仕様書管理 (ダッシュボード)	機能 (状態別のアクション制御)	機能	「編集」ボタンからのウィザード再開	1 作業中の仕様書をシームレスに再開するため。	1 ステータスが「編集中」または「確認中」の仕様書の「編集」ボタン3をクリックすると、ウィザード画面に遷移する。その際、非機能要件（作業のシームレスな再開）に基づき、前回終了時のステップと入力内容が復元された状態で表示される。	仕様書作成者	「編集」ボタンのクリック	ウィザード画面への遷移（データ復元）
仕様書管理 (ダッシュボード)	機能 (状態別のアクション制御)	機能	「詳細」ボタンからの詳細画面遷移	1 完成（保存済み）した仕様書の概要を確認し、エクスポートなどの次のアクションに移るため。	1 ステータスが「保存済み」の仕様書の「詳細」ボタン3をクリックすると、「仕様書詳細情報」画面8に遷移する。	仕様書作成者, 仕様書レビューア	「詳細」ボタンのクリック	仕様書詳細情報画面への遷移
仕様書作成 (ウィザード共通)	画面 (ウィザードコンテナ)	画面	画面: ウィザード共通コンテナ	1 複雑な仕様書項目をステップ・バイ・ステップの形式で入力させ、作業を小さなカテゴリに分割して漏れなく入力を進めさせるため。	2 全ての作成ステップ（1〜6）で共通のUIシェル（コンテナ）。以下のコンポーネントで構成される： 1. グローバルナビゲーション: ← 一覧に戻る 2. ステップ進捗バー（上部）: 各ステップ名と入力進捗（例: 1. 基本情報 (0/3)）を表示するクリック可能なナビゲーションバー 3. ステップ進捗表示（下部）: 現在のステップ番号（例: ステップ 1/6）と進捗率（例: 17%） 4. コンテンツ表示領域: 各ステップ固有のフォームコンポーネント 5. フッターナビゲーション: <前へ および 次へ > ボタン 6. フッターステータス: 自動保存中 インジケータ	仕様書作成者	-	-
仕様書作成 (ウィザード共通)	機能 (ステップ間ナビゲーション)	機能	ステップ間ナビゲーション（次へ/前へ）	1 ステップ間を順次移動するため。	2 ウィザード画面フッターの<前へ ボタンをクリックすると前のステップに、次へ > ボタンをクリックすると次のステップに遷移する。	仕様書作成者	<前へ / 次へ > ボタンのクリック	画面（コンテンツ領域）の切り替え
仕様書作成 (ウィザード共通)	機能 (ステップ間ナビゲーション)	機能	ステップ進捗バーからの直接遷移	4 修正したいステップに直接ジャンプするため。（UIの性質から推測）	2 画面上部のステップ進捗バー（例: 1. 基本情報 (0/3)）はクリック可能であり、クリックすると対応するステップの画面に直接遷移する。	仕様書作成者	ステップ名（進捗バー上）のクリック	画面（コンテンツ領域）の切り替え
仕様書作成 (ウィザード共通)	機能 (進捗の定量的表示)	機能	入力進捗の定量的表示（ヘッダー）	1 仕様書の全体的な完成度（進捗）を定量的に理解し、どのセクションに未入力が多いかを即座に判断するため。	2 ウィザード上部の進捗バーに、各ステップの「(入力済み項目数 / 総項目数)」を表示する（例: 1. 基本情報 (0/3)）。このカウントは、スキーマ9で定義された項目（必須項目のみ、または全項目かは要定義）の入力状態に基づいて更新される。	仕様書作成者	フォームフィールドの入力状態	進捗バーの数値（例: (0/3) -> (1/3)）の更新
仕様書作成 (ウィザード共通)	機能 (動的リスト共通 - 追加)	機能	動的リスト項目追加 (納品物)	1 一つの調達プロジェクトには、通常、複数の成果物（例：設計書、ソースコード）が存在するため、それらをリストとして登録するため。	2 ステップ32で「+ 納品物を追加」ボタンをクリックすると、「納品物X」（名称、個数、説明のフィールド群）の入力ブロックが新しく追加される。これはスキーマ9で データ型 = "リスト" と定義された項目に紐づく。	仕様書作成者	「+ 納品物を追加」ボタンのクリック	「納品物」フォームブロックのDOM挿入
仕様書作成 (ウィザード共通)	機能 (動的リスト共通 - 追加)	機能	動的リスト項目追加 (受注者要件)	1 発注先を選定するための基準（例：セキュリティ認証、特定技術の経験）が複数あり、それらを明示する必要があるため。	6 ステップ46で「+ 要件を追加」ボタンをクリックすると、「要件X」（カテゴリ、説明のフィールド群）の入力ブロックが新しく追加される。これはスキーマ9で データ型 = "リスト" と定義された項目に紐づく。	仕様書作成者	「+ 要件を追加」ボタンのクリック	「受注者要件」フォームブロックのDOM挿入
仕様書作成 (ウィザード共通)	機能 (動的リスト共通 - 追加)	機能	動的リスト項目追加 (業務基本要件)	1 開発・納品されるシステムやサービス自体が満たすべき技術的・非機能的な要件（例：稼働率、セキュリティ準拠）が複数あるため。	6 ステップ46で「+ 基本要件を追加」ボタンをクリックすると、「基本要件X」（カテゴリ、説明のフィールド群）の入力ブロックが新しく追加される。これはスキーマ9で データ型 = "リスト" と定義された項目に紐づく。	仕様書作成者	「+ 基本要件を追加」ボタンのクリック	「業務基本要件」フォームブロックのDOM挿入
仕様書作成 (ウィザード共通)	機能 (動的リスト共通 - 追加)	機能	動的リスト項目追加 (業務タスク)	1 調達スコープ内の業務を、実行可能な単位（WBSの要素）に具体的に分解し、それぞれに詳細な仕様を定義する必要があるため。	5 ステップ55で「+ 業務を追加」ボタンをクリックすると、「業務X」（タイトル、詳細仕様のフィールド群）の入力ブロックが新しく追加される。これはスキーマ9で データ型 = "リスト" と定義された項目に紐づく。	仕様書作成者	「+ 業務を追加」ボタンのクリック	「業務タスク」フォームブロックのDOM挿入
仕様書作成 (ウィザード共通)	機能 (動的リスト共通 - 削除)	機能	動的リスト項目削除（論理的必須要件）	1 誤って追加した、または不要になった「納品物」「要件」「業務タスク」をリストから削除するため。	1 ユーザーストーリー1には「追加・編集・削除したい」と明記されている。したがって、UIモックアップ2には描画されていないが、各動的入力ブロック（「納品物X」「要件X」など）には、そのブロック自体を削除するための「削除」ボタン（または「x」アイコン）を実装することが必須である。	仕様書作成者	各動的ブロックの「削除」ボタンのクリック	該当するフォームブロックのDOM削除
ウィザード (ステップ 1: 基本情報)	画面 4	画面	画面: ステップ 1 基本情報	1 調達の核となる意図（何を、なぜ）を定義する。	4 ウィザードコンテナ内に、セクションタイトル（「基本情報」「件名、背景、目的」）と、3つの入力フォームフィールド（「件名」「調達の背景」「調達の目的」）およびそれぞれのプレースホルダーテキストを表示する。	仕様書作成者	-	-
ウィザード (ステップ 1: 基本情報)	機能 (データ入力)	機能	基本情報（件名、背景、目的）の入力	1 その仕様書が「何を」「なぜ」調達するものなのか、という最も根本的な意図を、全ての関係者（レビューア、ベンダー）と共有するため。	4 ユーザーは「件名」（9: テキスト）、「調達の背景」（9: テキストエリア）、「調達の目的」（9: テキストエリア、必須）の各フィールドにテキストを入力できる。入力内容は自動保存される。	仕様書作成者	キーボードによるテキスト入力	ローカルストレージへのデータ保存
ウィザード (ステップ 2: 調達の種別とスコープ)	画面 7	画面	画面: ステップ 2 調達の種別とスコープ	1 発注の法的根拠と作業範囲を定義する。	7 ウィザードコンテナ内に、セクションタイトル（「調達の種別とスコープ」「契約形態とスコープ選択」）と、2つの入力領域（「調達の種別」のラジオボタン群、「調達のスコープ」のチェックボックス群）を表示する。	仕様書作成者	-	-
ウィザード (ステップ 2: 調達の種別とスコープ)	機能 (データ入力)	機能	調達の種別とスコープの入力	1 発注の法的根拠（準委任/委任）と、ベンダーに依頼する作業範囲を仕様書の前提条件として定義するため。	7 ユーザーは「調達の種別」（9: ラジオボタン、必須）を単一選択（例：「準委任」「委任」）し、「調達のスコープ」（9: チェックボックス、複数選択可）を複数選択（例：「コンサルティング」「要件定義支援」など）できる。	仕様書作成者	ラジオボタン、チェックボックスのクリック	ローカルストレージへのデータ保存
ウィザード (ステップ 3: 納品情報)	画面 2	画面	画面: ステップ 3 納品情報	1 成果物の受け渡し（検収）プロセスを明確にする。	2 ウィザードコンテナ内に、セクションタイトル（「納品情報」「納品物、場所、期限」）と、3つの基本入力フィールド（「納品期限」（カレンダーアイコン付）、「納品場所」、「担当者」）、および動的リストセクション（「納品物」）と「+ 納品物を追加」ボタンを表示する。	仕様書作成者	-	-
ウィザード (ステップ 3: 納品情報)	機能 (基本データ入力)	機能	納品情報（期限、場所、担当者）の入力	1 成果物の受け渡し（検収）プロセスを明確にし、関係者間の認識齟齬を防ぐため。	2 ユーザーは「納品期限」（9: 日付、必須）をカレンダーピッカー（アイコン2クリックで起動）または直接入力で設定し、「納品場所」（9: テキスト、必須）、「担当者」（9: テキスト、必須）にテキスト入力できる。	仕様書作成者	日付選択、テキスト入力	ローカルストレージへのデータ保存
ウィザード (ステップ 4: 要件)	画面 6	画面	画面: ステップ 4 要件	1 発注先の選定基準と、納品物が満たすべき技術的要件を定義する。	6 ウィザードコンテナ内に、セクションタイトル（「要件」「受注者要件と基本要件」）と、2つの動的リストセクション（「受注者に求められる要件」と「+ 要件を追加」ボタン、「業務の基本要件」と「+ 基本要件を追加」ボタン）を表示する。	仕様書作成者	-	-
ウィザード (ステップ 5: 各業務の詳細仕様)	画面 5	画面	画面: ステップ 5 各業務の詳細仕様	1 業務タスクを具体的に分解し、詳細な仕様を定義する。	5 ウィザードコンテナ内に、セクションタイトル（「各業務の詳細仕様」「業務タスクの詳細」）と、動的リストセクション（「業務タスク」）および「+ 業務を追加」ボタンを表示する。	仕様書作成者	-	-
ウィザード (ステップ 6: 確認・保存)	画面 (サマリー表示)	画面	画面: ステップ 6 確認・保存	1 保存（発行）する前に、入力した全ての項目を一つの画面で一覧（サマリー）し、全体を俯瞰して最終チェックを行うため。	10 ウィザードコンテナ内に、全ステップ（基本情報〜各業務の詳細仕様）の入力内容を読み取り専用形式で表示する。各セクションには見出し（例：「基本情報 (0/3)」）と「編集」ボタンが併記される。未入力項目は「(未入力)」または「(未選択)」と表示される。画面最下部に「仕様書を保存する」ボタンが配置される。	仕様書作成者	-	-
ウィザード (ステップ 6: 確認・保存)	機能 (入力漏れバリデーション)	機能	入力漏れの視覚的検知（バリデーション）	1 仕様書として致命的となる「必須項目の入力漏れ」を確実に見つけ出し、保存（発行）前に修正するため。	1 確認画面10で、「(未入力)」または「(未選択)」と表示されている項目のうち、スキーマ9で「必須」と定義されている項目（例：「調達の目的」9）の背景を、薄い赤色で強調表示する。	仕様書作成者	スキーマ定義（必須フラグ）、各項目の入力値	該当項目のCSSスタイル変更（背景色）
ウィザード (ステップ 6: 確認・保存)	機能 (入力漏れバリデーション)	機能	入力進捗の定量的表示（サマリー）	1 仕様書の全体的な完成度（進捗）を定量的に理解し、どのセクションに未入力が多いかを即座に判断するため。	1 確認画面10の各セクション見出しに、ウィザード上部（要件22）と同様の入力状況（例: 「基本情報 (0/3)」）を表示する。	仕様書作成者	-	-
ウィザード (ステップ 6: 確認・保存)	機能 (クイック編集ナビゲーション)	機能	編集のためのクイックナビゲーション	1 確認サマリー画面で入力ミスを見つけた場合、「戻る」ボタンを何度も押して修正箇所を探すという非効率な手戻りをなくし、迅速に内容を修正するため。	10 確認画面10の各セクション（例：「基本情報」「納品情報」）の横に表示される「編集」ボタンをクリックすると、対応するウィザードのステップ（例：ステップ1、ステップ3）に直接遷移する。	仕様書作成者	各セクションの「編集」ボタンのクリック	対応するウィザードステップへの画面遷移
ウィザード (ステップ 6: 確認・保存)	機能 (保存ロジック・バージョン管理)	機能	保存処理とバージョン管理ロジック	1 作業を中断するための「ドラフト（下書き）」としてマイナーバージョンで保存する、または関係者に共有するための「公式なメジャーバージョン」として版を確定させるため。	1 確認画面10の「仕様書を保存する」ボタン押下時に、ローカルストレージのデータをサーバーサイドのデータベースに永続化する。その際、以下のバージョン管理ロジックを実行する： 1. ドラフト保存（マイナーバージョン）: スキーマ9で定義された「必須」項目のうち、1つ以上が未入力の場合。仕様書のバージョンをマイナーインクリメントする（例：1.0 -> 1.1、1.1 -> 1.2）。ステータスを「編集中」または「確認中」に設定する。 2. 確定保存（メジャーバージョン）: スキーマ9で定義された「必須」項目がすべて入力済みの場合。仕様書のバージョンをメジャーインクリメントする（例：1.0 -> 2.0、1.1 -> 2.0）。ステータスを「保存済み」に設定する。 保存完了後、ローカルストレージの編集データをクリアし、ユーザーをトップページ3にリダイレクトする。	仕様書作成者	「仕様書を保存する」ボタンのクリック、全必須項目の入力状態	DBへのデータ永続化、バージョン番号の更新、ステータスの更新、トップページへの画面遷移
仕様書参照・活用	画面 (詳細表示)	画面	画面: 仕様書詳細情報	1 「保存済み」の仕様書の概要を素早く確認し、エクスポートや編集のアクションを開始するため。	8 画面は以下のコンポーネントで構成される： 1. ナビゲーション: ← 一覧に戻る 2. セクション「仕様書概要」: 作成日, 件名, 調達の種別, 納品期限, バージョン, 調達のスコープ, 業務数 などの主要メタデータを表示。 3. セクション「エクスポート」: Markdown, PDF, Word の各ボタン。 4. 操作: 編集 ボタン。	仕様書作成者, 仕様書レビューア	-	-
仕様書参照・活用	機能 (エクスポート)	機能	PDF形式でのエクスポート	1 レイアウトを固定し、改変不可能な「正本」として、調達先ベンダーや上長など、アプリのアカウントを持たない関係者に正式に共有・配布するため。	8 詳細画面8の「PDF」ボタンをクリックすると、当該仕様書IDのデータをDBから読み出し、PDFファイルとしてサーバーサイドで生成し、ブラウザからダウンロードを開始させる。	仕様書作成者, ベンダー, 上長	「PDF」ボタンのクリック	生成された.pdfファイル
仕様書参照・活用	機能 (エクスポート)	機能	Word形式でのエクスポート	1 アプリのアカウントがなくても、「変更履歴」や「コメント」機能を使って、仕様書のレビュー（赤入れ）や共同編集を行うため。	8 詳細画面8の「Word」ボタンをクリックすると、当該仕様書IDのデータをDBから読み出し、.docxファイルとしてサーバーサイドで生成し、ブラウザからダウンロードを開始させる。	仕様書レビューア（法務部や上長）	「Word」ボタンのクリック	生成された.docxファイル
仕様書参照・活用	機能 (エクスポート)	機能	Markdown形式でのエクスポート	1 仕様書の変更履歴をGitなどのバージョン管理システムで、差分（Diff）として技術的に管理するため。	8 詳細画面8の「Markdown」ボタンをクリックすると、当該仕様書IDのデータをDBから読み出し、.mdファイルとしてサーバーサイドで生成し、ブラウザからダウンロードを開始させる。	仕様書レビューア（開発チーム）	「Markdown」ボタンのクリック	生成された.mdファイル
管理機能 (スキーマ設定)	画面 (設定ページ)	画面	画面: スキーマ設定	1 組織の業務プロセスに合わせて、仕様書作成の入力フロー（ウィザードのステップ）と入力項目を定義するため。	9 「仕様書管理者」のみがアクセス可能な画面。以下のコンポーネントで構成される： 1. ナビゲーション: ← 一覧に戻る 2. スキーマ情報: スキーマ名（例：「デフォルトスキーマ」） 3. グローバル操作: デフォルトに戻す, カテゴリを追加 4. カテゴリ一覧: ウィザードのステップ（例：「ステップ 1 基本情報」）のリスト。各カテゴリには「編集」「削除」リンクと、そのカテゴリに含まれる「入力項目一覧」が表示される。 5. 入力項目一覧: 各カテゴリ内に、定義済みの入力項目（データ型、項目名、必須マーク、「編集」「削除」リンク）がリスト表示される。各カテゴリの末尾に「+ 項目を追加」ボタンが配置される。	仕様書管理者	-	-
管理機能 (スキーマ設定)	機能 (カテゴリ管理)	機能	カテゴリ（ステップ）の管理 (CRUD)	1 組織の業務プロセス（例：ソフトウェア開発と物品購入）に合わせて、仕様書作成の入力フロー自体を最適化するため。	9 管理者は「カテゴリ一覧」で以下のアクションを実行できる： 1. C (Create): カテゴリを追加 ボタンで新しいステップ（カテゴリ）を作成する。 2. R (Read): カテゴリ一覧を閲覧する。 3. U (Update): 各カテゴリの 編集 リンクで、名称や説明を編集する。 4. D (Delete): 各カテゴリの 削除 リンクで、カテゴリを（その中の項目ごと）削除する。 5. （UIにはないが推測）カテゴリの順序をドラッグ＆ドロップ等で並べ替える機能。	仕様書管理者	各種ボタン・リンクのクリック、フォーム入力	スキーマ定義のDB更新、画面の再表示
管理機能 (スキーマ設定)	機能 (入力項目管理)	機能	入力項目の管理 (CRUD)	1 業務上必要な情報（例：「担当者」）をテンプレートに追加したり、不要な項目（例：「調達の背景」）を削除したりして、収集する情報を過不足なく定義するため。	9 管理者は各カテゴリ内の「入力項目一覧」で以下のアクションを実行できる： 1. C (Create): + 項目を追加 ボタンで、そのカテゴリに新しい入力項目を作成する。 2. R (Read): 入力項目一覧を閲覧する。 3. U (Update): 各項目の 編集 リンクで、名称、データ型、必須設定などを編集する。 4. D (Delete): 各項目の 削除 リンクで、入力項目を削除する。 5. （UIにはないが推測）項目間の順序を並べ替える機能。	仕様書管理者	各種ボタン・リンクのクリック、フォーム入力	スキーマ定義のDB更新、画面の再表示
管理機能 (スキーマ設定)	機能 (データ型・必須設定)	機能	入力項目のデータ型定義	1 作成者（ユーザー）に適切な形式でデータを入力させ、後続処理（エクスポート、集計）が容易な、構造化されたクリーンなデータを担保するため。	9 項目の追加・編集時、管理者はその項目のデータ型をドロップダウン等から選択できる。選択可能な型には少なくとも「テキスト」「テキストエリア」「ラジオボタン」「チェックボックス」「リスト」「日付」が含まれる。	仕様書管理者	フォーム（項目編集画面）でのデータ型選択	スキーマ定義のDB更新
管理機能 (スキーマ設定)	機能 (データ型・必須設定)	機能	入力項目の必須設定	1 コンプライアンス上、あるいは業務上、不可欠な情報（例：「調達の目的」「納品期限」）の入力漏れを、システム的に強制・防止するため。	9 項目の追加・編集時、管理者はその項目が「必須」であるかをトグル（例：チェックボックス）で設定できる。「必須」に設定された項目は、9のUI上で「必須」マークが表示され、ウィザードのバリデーション（要件38）および保存ロジック（要件41）で参照される。	仕様書管理者	フォーム（項目編集画面）での「必須」トグル操作	スキーマ定義のDB更新
管理機能 (スキーマ設定)	機能 (デフォルト復元)	機能	スキーマのデフォルト復元	1 設定のカスタマイズに失敗した際や、組織のプロセス変更で初期状態に戻す必要が出た際に、安全な状態に復元するため。	9 管理者が「デフォルトに戻す」ボタンをクリックすると、確認ダイアログ（例：「本当にリセットしますか？」）が表示される。承認すると、カテゴリや入力項目の設定が全てシステム提供の初期状態にリセット（上書き）される。	仕様書管理者	「デフォルトに戻す」ボタンのクリック、確認ダイアログでの「OK」	スキーマ定義のDBリセット、画面の再表示
